ai_infor_users_id,ai_infor_accounting_entity_id,ai_infor_users_accounting_entity_mapping_id,is_active,lid,ae_app_type,ai_infor_maps_id
780,112,981,f,lid://infor.ln.ln_sd1,,10468
7589,110,1168,f,lid://infor.ln.ln_sd1,,10458
32019,17,9677,f,lid://infor.ln.ln_ba,,1218
780,109,982,f,lid://infor.ln.ln_sd1,,10468
878,113,197,t,lid://infor.m3.m3_sd1,,
878,114,198,t,lid://infor.m3.m3_sd1,,
31882,24,8680,f,lid://infor.ln.ln_ba,,1639
780,110,983,f,lid://infor.ln.ln_sd1,,10468
32019,13,9678,f,lid://infor.ln.ln_ba,,4041
32019,14,9679,f,lid://infor.ln.ln_ba,,4041
1283,122,363,f,lid://infor.ln.ln_sd1,,
1338,119,371,f,lid://infor.m3.m3_sd1,,
782,112,998,t,lid://infor.ln.ln_sd1,,10458
782,109,999,t,lid://infor.ln.ln_sd1,,10458
1283,122,372,f,lid://infor.ln.ln_sd1,,
878,115,199,t,lid://infor.m3.m3_sd1,,
848,113,200,t,lid://infor.m3.m3_sd1,,
846,114,201,t,lid://infor.m3.m3_sd1,,
1283,122,380,f,lid://infor.ln.ln_sd1,,
32019,28,9680,f,lid://infor.ln.ln_ba,,2309
32019,16,9681,f,lid://infor.ln.ln_ba,,4041
32019,15,9682,f,lid://infor.ln.ln_ba,,4041
32019,18,9683,f,lid://infor.ln.ln_ba,,4041
850,113,202,t,lid://infor.m3.m3_sd1,,
850,114,203,t,lid://infor.m3.m3_sd1,,
854,117,204,t,lid://infor.m3.m3_sd1,,
866,113,205,t,lid://infor.m3.m3_sd1,,
866,114,206,t,lid://infor.m3.m3_sd1,,
866,115,207,t,lid://infor.m3.m3_sd1,,
868,113,208,t,lid://infor.m3.m3_sd1,,
868,114,209,t,lid://infor.m3.m3_sd1,,
872,113,210,t,lid://infor.m3.m3_sd1,,
872,114,211,t,lid://infor.m3.m3_sd1,,
32019,58,9684,f,lid://infor.ln.ln_ba,,4041
32019,59,9685,f,lid://infor.ln.ln_ba,,4041
32019,60,9686,f,lid://infor.ln.ln_ba,,4041
872,115,212,t,lid://infor.m3.m3_sd1,,
870,117,213,t,lid://infor.m3.m3_sd1,,
32019,62,9687,f,lid://infor.ln.ln_ba,,4041
32019,64,9688,f,lid://infor.ln.ln_ba,,4041
32019,66,9689,f,lid://infor.ln.ln_ba,,4041
32019,68,9690,f,lid://infor.ln.ln_ba,,4041
32019,70,9691,f,lid://infor.ln.ln_ba,,4041
32019,72,9692,f,lid://infor.ln.ln_ba,,4041
31882,25,8681,f,lid://infor.ln.ln_ba,,1639
31882,26,8682,f,lid://infor.ln.ln_ba,,1639
31882,27,8683,f,lid://infor.ln.ln_ba,,1639
31882,28,8684,f,lid://infor.ln.ln_ba,,1639
31882,13,8713,f,lid://infor.ln.ln_ba,,1639
7589,112,1169,f,lid://infor.ln.ln_sd1,,10458
7589,109,1170,f,lid://infor.ln.ln_sd1,,10458
31882,29,8714,f,lid://infor.ln.ln_ba,,2309
31882,30,8715,f,lid://infor.ln.ln_ba,,2309
31882,31,8716,f,lid://infor.ln.ln_ba,,2309
33216,109,11518,t,lid://infor.ln.ln_sd1,,18075
793,110,1029,f,lid://infor.ln.ln_sd1,,10473
793,112,1032,f,lid://infor.ln.ln_sd1,,10473
793,109,1026,f,lid://infor.ln.ln_sd1,,10473
32019,19,9693,f,lid://infor.ln.ln_ba,,4041
32019,20,9694,f,lid://infor.ln.ln_ba,,4041
1283,122,367,f,lid://infor.ln.ln_sd1,,
1283,122,376,f,lid://infor.ln.ln_sd1,,
1283,109,1956,f,lid://infor.ln.ln_sd1,,18075
32019,21,9695,f,lid://infor.ln.ln_ba,,4041
32019,22,9696,f,lid://infor.ln.ln_ba,,4041
32019,23,9697,f,lid://infor.ln.ln_ba,,4041
1296,112,1041,t,lid://infor.ln.ln_sd1,,10460
32019,24,9698,f,lid://infor.ln.ln_ba,,4041
32019,25,9699,f,lid://infor.ln.ln_ba,,4041
32019,26,9700,f,lid://infor.ln.ln_ba,,4041
1414,9,384,f,lid://infor.ln.ln_pp,,1147
32019,29,9701,f,lid://infor.ln.ln_ba,,2309
1292,7,970,t,lid://infor.ln.ln_pp,,1146
32019,30,9702,f,lid://infor.ln.ln_ba,,2309
30997,64,10711,f,lid://infor.ln.ln_ba,,3128
32019,31,9703,f,lid://infor.ln.ln_ba,,2309
1292,11,971,t,lid://infor.ln.ln_pp,,1153
30315,109,1490,f,lid://infor.ln.ln_sd1,,17366
32019,17,9704,f,lid://infor.ln.ln_ba,,2309
31882,15,8694,f,lid://infor.ln.ln_ba,,4041
30997,66,10712,f,lid://infor.ln.ln_ba,,3128
30997,68,10713,f,lid://infor.ln.ln_ba,,3128
30997,20,10717,f,lid://infor.ln.ln_ba,,3128
32019,33,9705,f,lid://infor.ln.ln_ba,,2309
30997,21,10718,f,lid://infor.ln.ln_ba,,3128
30849,17,1502,t,lid://infor.ln.ln_ba,,1218
31882,46,9170,f,lid://infor.ln.ln_ba,,4441
32019,34,9706,f,lid://infor.ln.ln_ba,,2309
31882,47,9171,f,lid://infor.ln.ln_ba,,4441
1296,111,973,t,lid://infor.ln.ln_sd1,,10469
32019,17,9707,f,lid://infor.ln.ln_ba,,4006
32019,27,9708,f,lid://infor.ln.ln_ba,,4041
32019,28,9709,f,lid://infor.ln.ln_ba,,4041
32019,29,9710,f,lid://infor.ln.ln_ba,,4041
31866,109,10378,f,lid://infor.ln.ln_sd1,,17167
31866,109,10379,f,lid://infor.ln.ln_sd1,,17171
31866,109,10380,f,lid://infor.ln.ln_sd1,,17181
32019,30,9711,f,lid://infor.ln.ln_ba,,4041
31866,109,10374,f,lid://infor.ln.ln_sd1,,17153
1943,109,11320,t,lid://infor.ln.ln_sd1,,17783
33909,301,11479,t,lid://infor.m3.m3_sd1,,
32019,31,9712,f,lid://infor.ln.ln_ba,,4041
32019,17,9713,f,lid://infor.ln.ln_ba,,4041
32019,32,9714,f,lid://infor.ln.ln_ba,,4041
30849,17,1503,t,lid://infor.ln.ln_ba,,2044
30849,17,1504,t,lid://infor.ln.ln_ba,,1801
30849,13,1505,t,lid://infor.ln.ln_ba,,4064
30849,17,1506,t,lid://infor.ln.ln_ba,,1267
30849,17,1507,t,lid://infor.ln.ln_ba,,1224
30849,17,1508,t,lid://infor.ln.ln_ba,,2039
30849,17,1509,t,lid://infor.ln.ln_ba,,1597
32019,33,9715,f,lid://infor.ln.ln_ba,,4041
32019,34,9716,f,lid://infor.ln.ln_ba,,4041
32019,35,9717,f,lid://infor.ln.ln_ba,,4041
32019,74,9718,f,lid://infor.ln.ln_ba,,4041
32019,75,9719,f,lid://infor.ln.ln_ba,,4041
32019,77,9720,f,lid://infor.ln.ln_ba,,4041
32019,79,9721,f,lid://infor.ln.ln_ba,,4041
31882,107,8744,f,lid://infor.ln.ln_ba,,4041
32019,81,9722,f,lid://infor.ln.ln_ba,,4041
32019,83,9723,f,lid://infor.ln.ln_ba,,4041
31882,29,8685,f,lid://infor.ln.ln_ba,,1639
31882,30,8686,f,lid://infor.ln.ln_ba,,1639
31882,31,8687,f,lid://infor.ln.ln_ba,,1639
31882,17,8688,f,lid://infor.ln.ln_ba,,1639
31882,32,8689,f,lid://infor.ln.ln_ba,,1639
31882,17,8717,f,lid://infor.ln.ln_ba,,2309
30997,33,10731,f,lid://infor.ln.ln_ba,,3128
30997,34,10732,f,lid://infor.ln.ln_ba,,3128
30997,35,10733,f,lid://infor.ln.ln_ba,,3128
31882,33,8718,f,lid://infor.ln.ln_ba,,2309
31882,34,8719,f,lid://infor.ln.ln_ba,,2309
818,110,1140,f,lid://infor.ln.ln_sd1,,10460
31866,109,10381,f,lid://infor.ln.ln_sd1,,17200
31866,109,10375,f,lid://infor.ln.ln_sd1,,17154
818,112,1141,f,lid://infor.ln.ln_sd1,,10460
818,109,1142,f,lid://infor.ln.ln_sd1,,10461
820,110,1160,f,lid://infor.ln.ln_sd1,,10458
31866,109,10376,f,lid://infor.ln.ln_sd1,,17159
30997,74,10734,f,lid://infor.ln.ln_ba,,3128
30997,75,10735,f,lid://infor.ln.ln_ba,,3128
30997,81,10738,f,lid://infor.ln.ln_ba,,3128
793,112,987,f,lid://infor.ln.ln_sd1,,10468
793,109,988,f,lid://infor.ln.ln_sd1,,10468
793,110,989,f,lid://infor.ln.ln_sd1,,10468
828,112,1146,f,lid://infor.ln.ln_sd1,,10468
828,109,1147,f,lid://infor.ln.ln_sd1,,10468
828,110,1148,f,lid://infor.ln.ln_sd1,,10468
822,112,1143,f,lid://infor.ln.ln_sd1,,10468
822,109,1144,f,lid://infor.ln.ln_sd1,,10468
822,110,1145,f,lid://infor.ln.ln_sd1,,10468
1956,123,11337,t,lid://infor.ln.ln_sd2,,18431
33911,304,11480,f,lid://infor.m3.m3_sd1,,
31866,109,10377,f,lid://infor.ln.ln_sd1,,17165
31866,109,10366,f,lid://infor.ln.ln_sd1,,17162
31866,109,10367,f,lid://infor.ln.ln_sd1,,17331
31866,109,10368,f,lid://infor.ln.ln_sd1,,17351
31866,109,10369,f,lid://infor.ln.ln_sd1,,17438
31866,109,10370,f,lid://infor.ln.ln_sd1,,17446
31866,109,10371,f,lid://infor.ln.ln_sd1,,17149
31866,109,10372,f,lid://infor.ln.ln_sd1,,17150
31866,109,10393,f,lid://infor.ln.ln_sd1,,17504
31882,33,8690,f,lid://infor.ln.ln_ba,,1639
31882,34,8691,f,lid://infor.ln.ln_ba,,1639
31882,35,8692,f,lid://infor.ln.ln_ba,,1639
31882,16,8693,f,lid://infor.ln.ln_ba,,4041
32850,109,10801,f,lid://infor.ln.ln_sd1,,17831
31882,101,8745,f,lid://infor.ln.ln_ba,,4041
31882,103,8746,f,lid://infor.ln.ln_ba,,4041
31882,105,8747,f,lid://infor.ln.ln_ba,,4041
31882,48,9172,f,lid://infor.ln.ln_ba,,4441
31882,49,9173,f,lid://infor.ln.ln_ba,,4441
31882,50,9174,f,lid://infor.ln.ln_ba,,4441
30997,14,1411,f,lid://infor.ln.ln_ba,,
31882,51,9175,f,lid://infor.ln.ln_ba,,4441
31882,52,9176,f,lid://infor.ln.ln_ba,,4441
31882,53,9177,f,lid://infor.ln.ln_ba,,4441
30997,70,10714,f,lid://infor.ln.ln_ba,,3128
30997,72,10715,f,lid://infor.ln.ln_ba,,3128
30997,19,10716,f,lid://infor.ln.ln_ba,,3128
31882,54,9178,f,lid://infor.ln.ln_ba,,4441
31882,55,9179,f,lid://infor.ln.ln_ba,,4441
31882,56,9180,f,lid://infor.ln.ln_ba,,4441
31882,18,8695,f,lid://infor.ln.ln_ba,,4041
31882,32,8726,f,lid://infor.ln.ln_ba,,4041
31882,33,8727,f,lid://infor.ln.ln_ba,,4041
